Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S07453700018,08/30/2012,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,"5050 EDGEWOOD RD
CEDAR RAPIDS 52411
(42.030457, -91.701432)",57,Linn,1062050,BARBADOS RUM,420,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$14.98,$22.47,6,$134.82,4.50,1.19
S21639200006,10/07/2014,3822,The Secret Cellar,1205 CURTIS BR RD NE,SWISHER,52338,"1205 CURTIS BR RD NE
SWISHER 52338
",52,Johnson,1011100,BLENDED WHISKIES,297,Laird And Company,23827,Five Star,12,1000,$4.40,$6.60,12,$79.20,12.00,3.17
S11826200047,04/24/2013,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,"1511 2ND AVE NORTH
FORT DODGE 50501
(42.508344, -94.177165)",94,Webster,1022100,TEQUILA,421,"Sazerac Co., Inc.",88768,Tortilla White Tequila,6,1750,$12.83,$19.24,6,$115.44,10.50,2.77
S18808300004,05/07/2014,3726,Wal-Mart 1285 / Ottumwa,1940 VENTURE DR,OTTUMWA,52501,"1940 VENTURE DR
OTTUMWA 52501
(41.014548, -92.456904)",90,Wapello,1011100,BLENDED WHISKIES,297,Laird And Company,23828,Five Star,6,1750,$7.46,$11.19,6,$67.14,10.50,2.77
S27967500007,09/17/2015,4813,USA Food and Gas / Grand Mound,"2293, HWY 30",GRAND MOUND,52751,"2293, HWY 30
GRAND MOUND 52751
(41.828024, -90.646328)",23,Clinton,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,$7.17,$10.76,12,$129.12,21.00,5.55
S17709100054,03/04/2014,2959,Dahl's / Merle Hay,4343 MERLE HAY ROAD,DES MOINES,50310,"4343 MERLE HAY ROAD
DES MOINES 50310
(41.637408, -93.697647)",77,Polk,1051100,APRICOT BRANDIES,55,Sazerac North America,54436,Mr. Boston Apricot Brandy,12,750,$4.50,$6.74,5,$33.70,3.75,0.99
S16817200015,01/14/2014,4774,Casey's General Store #3034 / Esther,"1615, CENTRAL AVE",ESTHERVILLE,51334,"1615, CENTRAL AVE
ESTHERVILLE 51334
(43.402229, -94.822033)",32,Emmet,1062310,SPICED RUM,259,Heaven Hill Brands,43024,Admiral Nelson Spiced Rum,24,375,$2.74,$4.11,12,$49.32,4.50,1.19
S26948200001,07/27/2015,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,"210 EAST TOWER PARK DR
WATERLOO 50702
(42.456362, -92.352552)",07,Black Hawk,1022100,TEQUILA,421,"Sazerac Co., Inc.",988063,Members Mark Silver Tequila,336,1750,$13.58,$20.37,336,$6844.32,588.00,155.33
S28099300138,09/24/2015,4988,Happy's Wine & Spirits,5925 UNIVERSITY AVE,CEDAR FALLS,50613,"5925 UNIVERSITY AVE
CEDAR FALLS 50613
(42.512766, -92.429371)",07,Black Hawk,1022100,TEQUILA,260,Diageo Americas,89175,Don Julio Anejo Tequila,6,750,$32.49,$48.74,2,$97.48,1.50,0.40
S07253700021,08/22/2012,2955,Dahl's / Beaver,1819 BEAVER,DES MOINES,50310,"1819 BEAVER
DES MOINES 50310
(41.610923, -93.672994)",77,Polk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,$12.00,$17.99,12,$215.88,9.00,2.38
S03556700002,01/12/2012,4165,I-35 Spirits / Ankeny,113 SE DELAWARE AVE STE 101,ANKENY,50023,"113 SE DELAWARE AVE STE 101
ANKENY 50023
(41.731732, -93.58109)",77,Polk,1051010,AMERICAN GRAPE BRANDIES,85,Brown-Forman Corporation,52806,Korbel Brandy,12,750,$5.69,$8.54,3,$25.62,2.25,0.59
S15322300091,10/23/2013,3990,Cork and Bottle / Oskaloosa,309 A AVE WEST,OSKALOOSA,52577,"309 A AVE WEST
OSKALOOSA 52577
(41.296228, -92.648153)",62,Mahaska,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75212,Kinky Blue Mini,6,500,$4.96,$7.44,2,$14.88,1.00,0.26
S21143400018,09/10/2014,4112,Corridor Ventures,618 MEADE DR,NORTH LIBERTY,52317,"618 MEADE DR
NORTH LIBERTY 52317
(41.752451, -91.608725)",52,Johnson,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17916,Elijah Craig,12,750,$14.04,$21.06,12,$252.72,9.00,2.38
S13794700012,08/07/2013,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,"703 W PLEASANT ST
KNOXVILLE 50138
(41.320746, -93.105641)",63,Marion,1011200,STRAIGHT BOURBON WHISKIES,434,Luxco-St Louis,18196,Ezra Brooks 50 Mo Ky Sour Mash Bourbon,12,750,$5.75,$8.63,5,$43.15,3.75,0.99
S09235400071,11/29/2012,4484,JEFF'S MARKET / WEST LIBERTY,200 E 3RD,WEST LIBERTY,52776,"200 E 3RD
WEST LIBERTY 52776
(41.569916, -91.261936)",70,Muscatine,1031080,VODKA 80 PROOF,55,Sazerac North America,35316,Barton Vodka,12,750,$3.37,$5.05,2,$10.10,1.50,0.40
S14802700099,09/26/2013,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,"1720 WATERFRONT DR
IOWA CITY 52240
(41.64277, -91.530467)",52,Johnson,1011200,STRAIGHT BOURBON WHISKIES,492,Western Spirits Beverage Co. LLC,19436,Lexington,6,750,$14.53,$21.80,3,$65.40,2.25,0.59
S21525900005,10/01/2014,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,"1025 NORTH QUINCY AVE
OTTUWMA 52501
(41.015384, -92.438455)",90,Wapello,1012200,SCOTCH WHISKIES,370,Pernod Ricard USA/Austin Nichols,4716,Chivas Regal 12 Yr,12,750,$17.74,$26.99,2,$53.98,1.50,0.40
S25330900026,04/28/2015,4277,Cork It!,769 PROSPECT ST SW,LE MARS,51031,"769 PROSPECT ST SW
LE MARS 51031
(42.776296, -96.178479)",75,Plymouth,1062310,SPICED RUM,478,Trinchero Family Estates,42230,Sugar Island Spiced,12,750,$10.00,$15.00,1,$15.00,0.75,0.20
S03990800027,02/08/2012,3625,Wal-Mart 0892 / Ankeny,1002 SE NATIONAL DR,ANKENY,50021,"1002 SE NATIONAL DR
ANKENY 50021
(41.704864, -93.582728)",77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43038,Bacardi Gold Rum,6,1750,$14.67,$22.00,6,$132.00,10.50,2.77
S20089700004,07/16/2014,3660,Wal-Mart 2935 / Knoxville,814 W BELL AVE,KNOXVILLE,50138,"814 W BELL AVE
KNOXVILLE 50138
",63,Marion,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86886,Southern Comfort,12,750,$9.85,$14.78,12,$177.36,9.00,2.38
S08938700013,11/14/2012,3885,Buchanan County Liquor Store,400 EAST FIRST ST,INDEPENDENCE,50644,"400 EAST FIRST ST
INDEPENDENCE 50644
(42.46874, -91.89069)",10,Buchanan,1081370,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,$7.35,$11.02,1,$11.02,1.00,0.26
S09706900021,12/26/2012,2510,Hy-Vee Drugstore #3 / Cedar Rapids,2405 MT VERNON RD SE,CEDAR RAPIDS,52403,"2405 MT VERNON RD SE
CEDAR RAPIDS 52403
(41.976952, -91.632647)",57,Linn,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75208,Kinky Liqueur Mini,6,500,$4.67,$7.00,6,$42.00,3.00,0.79
S09405700004,12/11/2012,3976,North English Family Food,119 NORTH MAIN ST,NORTH ENGLISH,52316,"119 NORTH MAIN ST
NORTH ENGLISH 52316
(41.515209, -92.076452)",48,Iowa,1011100,BLENDED WHISKIES,297,Laird And Company,23828,Five Star,6,1750,$7.46,$11.19,6,$67.14,10.50,2.77
S14639100027,09/18/2013,3715,Kimberly Mart / Davenport,1714 E KIMBERLY RD,DAVENPORT,52807,"1714 E KIMBERLY RD
DAVENPORT 52807
(41.556966, -90.550657)",82,Scott,1052010,IMPORTED GRAPE BRANDIES,389,REMY COINTREAU USA         .,49084,Remy Martin 1738 Accord Royal,12,375,$12.90,$19.35,2,$38.70,0.75,0.20
S25865900045,05/27/2015,4860,Jims Foods,812 6TH ST SW,CEDAR RAPIDS,52404,"812 6TH ST SW
CEDAR RAPIDS 52404
(41.968294, -91.677076)",57,Linn,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,$29.72,$44.58,1,$44.58,3.00,0.79
S15771200005,11/18/2013,4644,Kwik Shop #588 / Davenport,"1136, E LOCUST ST",DAVENPORT,52803,"1136, E LOCUST ST
DAVENPORT 52803
(41.538288, -90.558658)",82,Scott,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34423,Grey Goose Vodka,12,375,$8.48,$12.72,12,$152.64,4.50,1.19
S22615600010,11/25/2014,3993,New Star Liquor / W 4th S / Waterloo,1625 WEST 4TH ST,WATERLOO,50701,"1625 WEST 4TH ST
WATERLOO 50701
",07,Black Hawk,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,$9.00,$13.50,12,$162.00,9.00,2.38
S05217600013,04/25/2012,4035,B and B West,3105 HUDSON RD,CEDAR FALLS,50613,"3105 HUDSON RD
CEDAR FALLS 50613
(42.509207, -92.465829)",07,Black Hawk,1031080,VODKA 80 PROOF,380,Phillips Beverage Company,37348,Phillips Vodka,6,1750,$7.31,$10.97,6,$65.82,10.50,2.77
S20346000006,07/30/2014,4200,Fareway Stores #019 / Sioux City,4016 INDIAN HILLS DR,SIOUX CITY,51108,"4016 INDIAN HILLS DR
SIOUX CITY 51108
(42.538468, -96.373207)",97,Woodbury,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$9.70,$14.92,18,$268.56,31.50,8.32
S04910600123,04/05/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,"1720 WATERFRONT DR
IOWA CITY 52240
(41.64277, -91.530467)",52,Johnson,1031200,VODKA FLAVORED,259,Heaven Hill Brands,41316,Burnetts Raspberry Vodka,12,750,$4.55,$6.82,12,$81.84,9.00,2.38
S25469900024,05/05/2015,3400,Last Stop Beverage Shop,2839 E. UNIVERSITY,DES MOINES,50317,"2839 E. UNIVERSITY
DES MOINES 50317
(41.600475, -93.561744)",77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,38006,Smirnoff Vodka Traveller,12,750,$8.25,$12.38,12,$148.56,9.00,2.38
S14980700053,10/07/2013,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17,Cerro Gordo,1022100,TEQUILA,421,"Sazerac Co., Inc.",88767,Tortilla White Tequila,12,1000,$7.14,$10.72,12,$128.64,12.00,3.17
S16253600044,12/12/2013,3437,Scott's Foods,1120 SUNSET DRIVE,NORWALK,50211,"1120 SUNSET DRIVE
NORWALK 50211
(41.479869, -93.67811)",91,Warren,1041100,AMERICAN DRY GINS,297,Laird And Company,29994,Five O'clock Gin,24,375,$1.99,$2.98,6,$17.88,2.25,0.59
S07909400041,09/24/2012,2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530476, -92.337583)",07,Black Hawk,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42716,Malibu Coconut Rum,12,750,$7.50,$11.24,4,$44.96,3.00,0.79
S18058600013,03/25/2014,3830,Wal-Mart 1435 / Creston,806 LAUREL ST,CRESTON,50801,"806 LAUREL ST
CRESTON 50801
(41.047716, -94.372142)",88,Union,1081200,CREAM LIQUEURS,461,Campari(skyy),68126,Carolan's Irish Cream Liqueur,12,750,$7.70,$11.55,24,$277.20,18.00,4.76
S28032100081,09/21/2015,2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,"1700 VALLEY WEST DR
WEST DES MOINES 50265
",77,Polk,1081010,AMERICAN AMARETTO,55,Sazerac North America,73981,Amaretto di Amore Mini,10,600,$5.95,$8.93,1,$8.93,0.60,0.16
S16977300096,01/22/2014,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,"215 WEST MILWAUKEE
STORM LAKE 50588
(42.647492, -95.202605)",11,Buena Vista,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34014,Absolut Apeach,12,750,$11.49,$17.24,3,$51.72,2.25,0.59
S16546200058,12/27/2013,2652,Hy-Vee DrugStore / Mason City,875  4TH ST SW,MASON CITY,50401,"875 4TH ST SW
MASON CITY 50401
(43.148257, -93.213856)",17,Cerro Gordo,1011200,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21595,Ten High Traveler,12,750,$4.10,$6.15,12,$73.80,9.00,2.38
S19693800025,06/23/2014,4615,North Side Liquor & Grocery,1303 NORTH FEDERAL AVE,MASON CITY,50401,"1303 NORTH FEDERAL AVE
MASON CITY 50401
(43.163663, -93.201061)",17,Cerro Gordo,1012200,SCOTCH WHISKIES,55,Sazerac North America,8828,Lauder's,6,1750,$11.18,$16.76,6,$100.56,10.50,2.77
S22280000037,11/10/2014,2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501,"757 W BROADWAY
COUNCIL BLUFFS 51501
(41.261673, -95.855054)",78,Pottawattamie,1022100,TEQUILA,478,Trinchero Family Estates,89885,Tres Agaves Anejo,6,750,$20.17,$30.26,1,$30.26,0.75,0.20
S05230600007,04/25/2012,4163,Fareway Stores #461 / Storm Lake,731 SENECA ST,STORM LAKE,50588,"731 SENECA ST
STORM LAKE 50588
(42.64679, -95.196848)",11,Buena Vista,1012100,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,$14.25,$21.37,2,$42.74,1.50,0.40
S23033500009,12/18/2014,4988,Happy's Wine & Spirits,5925 UNIVERSITY AVE,CEDAR FALLS,50613,"5925 UNIVERSITY AVE
CEDAR FALLS 50613
(42.512766, -92.429371)",07,Black Hawk,1081200,CREAM LIQUEURS,451,Serralles USA,80296,Kringle Cream,6,750,$12.50,$18.75,6,$112.50,4.50,1.19
S10884000042,03/04/2013,3986,Siouxland Beverage,1203 5 ST,SIOUX CITY,51101,"1203 5 ST
SIOUX CITY 51101
(42.495322, -96.394855)",97,Woodbury,1031080,VODKA 80 PROOF,260,Diageo Americas,38006,Smirnoff Vodka Traveller,12,750,$7.96,$11.94,12,$143.28,9.00,2.38
S15791900012,11/19/2013,3830,Wal-Mart 1435 / Creston,806 LAUREL ST,CRESTON,50801,"806 LAUREL ST
CRESTON 50801
(41.047716, -94.372142)",88,Union,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,$4.83,$7.44,36,$267.84,27.00,7.13
S27581200053,08/27/2015,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,"5750 MERLE HAY ROAD
JOHNSTON 50131
(41.664386, -93.69774)",77,Polk,1011200,STRAIGHT BOURBON WHISKIES,85,Brown-Forman Corporation,22216,Woodford Reserve Bourbon,6,750,$21.02,$31.53,1,$31.53,0.75,0.20
S11436200019,04/03/2013,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,"215 WEST MILWAUKEE
STORM LAKE 50588
(42.647492, -95.202605)",11,Buena Vista,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$10.45,$15.67,60,$940.20,105.00,27.74
S04429200025,03/07/2012,2961,Dahl's / Ep True / Wdm,5003 E P TRUE PARKWAY,WEST DES MOINES,50265,"5003 E P TRUE PARKWAY
WEST DES MOINES 50265
(41.571985, -93.772757)",77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,37418,Popov Vodka 80 Prf,6,1750,$8.49,$12.74,6,$76.44,10.50,2.77
S28271800008,10/06/2015,4443,Palo Mini Mart,1204 1ST ST,PALO,52324,"1204 1ST ST
PALO 52324
(42.070316, -91.795808)",57,Linn,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$9.45,$14.68,12,$176.16,21.00,5.55
S04148800022,02/20/2012,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52,Johnson,1041100,AMERICAN DRY GINS,259,Heaven Hill Brands,29568,Burnett's Gin London Dry,6,1750,$10.06,$15.09,6,$90.54,10.50,2.77
S09160200004,11/27/2012,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,"3111 MAIN
KEOKUK 52632
(40.414975, -91.403338)",56,Lee,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34008,Absolut Swedish Vodka 80 Prf,6,1750,$20.00,$29.99,6,$179.94,10.50,2.77
S26668700058,07/09/2015,4068,Sa Petro Mart,136  1ST ST,WEST DES MOINES,50265,"136 1ST ST
WEST DES MOINES 50265
(41.570743, -93.703344)",77,Polk,1031200,VODKA FLAVORED,260,Diageo Americas,77740,Smirnoff Raspberry,12,750,$8.25,$12.38,3,$37.14,2.25,0.59
S19545100004,06/16/2014,3907,Smokin' Joe's #16 Tobacco and Liquor,1504 PARK AVE,MUSCATINE,52761,"1504 PARK AVE
MUSCATINE 52761
(41.442458, -91.030569)",70,Muscatine,1031080,VODKA 80 PROOF,297,Laird And Company,35914,Five O'clock Vodka,24,375,$1.93,$2.89,24,$69.36,9.00,2.38
S14846000014,10/01/2013,4489,Casey's General Store #2763 / Cedar,641 EDGEWOOD RD NW,CEDAR RAPIDS,52405,"641 EDGEWOOD RD NW
CEDAR RAPIDS 52405
(41.979772, -91.715925)",57,Linn,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52316,Christian Bros Brandy,12,750,$5.41,$8.37,6,$50.22,4.50,1.19
S21769400014,10/14/2014,2205,Ding's Honk And Holler,900 E WASHINGTON,CLARINDA,51632,"900 E WASHINGTON
CLARINDA 51632
(40.739238, -95.02756)",73,Page,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,82607,Dekuyper Sour Apple,12,1000,$7.62,$11.43,12,$137.16,12.00,3.17
S26919400055,07/22/2015,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,"PO BOX 261 310 W DILLON
MARENGO 52301
",48,Iowa,1032080,IMPORTED VODKA,115,"Constellation Wine Company, Inc.",35435,Svedka Traveler,12,750,$8.25,$12.38,4,$49.52,3.00,0.79
S22463000145,11/19/2014,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,"1256 IOWA ST
DUBUQUE 52001
(42.504958, -90.668138)",31,Dubuque,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41604,Uv Grape Vodka,12,750,$6.50,$9.75,5,$48.75,3.75,0.99
S10622000024,02/14/2013,3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,"3601 29TH AVE SW
CEDAR RAPIDS 52404
(41.949215, -91.718042)",57,Linn,1031080,VODKA 80 PROOF,461,Campari(skyy),37986,Skyy Vodka,12,750,$10.01,$15.01,12,$180.12,9.00,2.38
S23255600012,01/07/2015,4705,Walgreens #05977 / Coralville,102 SECOND ST,CORALVILLE,52241,"102 SECOND ST
CORALVILLE 52241
(41.669266, -91.566343)",52,Johnson,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22788,Beam's 8 Star Bl Whiskey,6,1750,$7.43,$11.15,6,$66.90,10.50,2.77
S13727900013,08/06/2013,4337,Grand Falls Casino Resort,1415 GRAND FALLS BLVD,LARCHWOOD,51241,"1415 GRAND FALLS BLVD
LARCHWOOD 51241
",60,Lyon,1032080,IMPORTED VODKA,260,Diageo Americas,34457,Ketel One Imported Vodka,12,1000,$17.50,$26.25,3,$78.75,3.00,0.79
S26770700004,07/16/2015,2836,CVS Pharmacy #8546 / Waterloo,205 FRANKLIN ST,WATERLOO,50703,"205 FRANKLIN ST
WATERLOO 50703
(42.503373, -92.337304)",07,Black Hawk,1022100,TEQUILA,395,Proximo,89198,Jose Cuervo Especial Reposado Tequila,6,1750,$20.25,$30.38,3,$91.14,5.25,1.39
S25097300008,04/15/2015,4073,"Uptown Liquor, Llc",306 HWY 69 SOUTH,FOREST CITY,50436,"306 HWY 69 SOUTH
FOREST CITY 50436
(43.261793, -93.63325)",95,Winnebago,1011200,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21597,Ten High,12,1000,$4.94,$7.41,12,$88.92,12.00,3.17
S06687700025,07/19/2012,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57,Linn,1022100,TEQUILA,410,The Patron Spirits Company,88296,Patron Tequila Silver,12,750,$26.08,$39.13,12,$469.56,9.00,2.38
S23181300024,12/26/2014,2653,Hy-Vee Wine and Spirits / Washington,1004 W MADISON ST,WASHINGTON,52353,"1004 W MADISON ST
WASHINGTON 52353
(41.296576, -91.704551)",92,Washington,1071100,AMERICAN COCKTAILS,395,Proximo,58840,Jose Cuervo Authentic Grapefruit Tangerine Margarita,6,1750,$8.20,$12.30,6,$73.80,10.50,2.77
S14858900035,09/30/2013,4349,Southside Food Mart,1101 ARMY POST RD,DES MOINES,50315,"1101 ARMY POST RD
DES MOINES 50315
(41.526509, -93.628356)",77,Polk,1022100,TEQUILA,410,The Patron Spirits Company,88290,Patron Silver Tequila,12,200,$8.50,$12.75,3,$38.25,0.60,0.16
S09936900009,01/09/2013,2963,Dahl's / Clive,15500 HICKMAN,CLIVE,50325,"15500 HICKMAN
CLIVE 50325
(41.614714, -93.832155)",77,Polk,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81206,Paramount Peppermint Schnapps,12,750,$3.70,$5.55,12,$66.60,9.00,2.38
S20763800029,08/20/2014,5010,Sac City Food Pride,106 S 16TH ST,SAC CITY,50583,"106 S 16TH ST
SAC CITY 50583
(42.422404, -95.002637)",81,Sac,1042100,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,$12.25,$18.38,3,$55.14,2.25,0.59
S23056400067,12/19/2014,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,"509 E PLATT
MAQUOKETA 52060
(42.069219, -90.661269)",49,Jackson,1051120,CHERRY BRANDIES,434,Luxco-St Louis,55246,Arrow Wild Cherry Flav Brandy,12,750,$5.38,$8.07,1,$8.07,0.75,0.20
S18973900054,05/15/2014,2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530476, -92.337583)",07,Black Hawk,1031080,VODKA 80 PROOF,301,Fifth Generation Inc.,38178,Titos Handmade Vodka,6,1750,$18.52,$27.78,2,$55.56,3.50,0.92
S12662000008,06/10/2013,4676,Sam's Mini Mart / Sioux City,711 GORDON DR,SIOUX CITY,51101,"711 GORDON DR
SIOUX CITY 51101
(42.489817, -96.401114)",97,Woodbury,1031080,VODKA 80 PROOF,260,Diageo Americas,37993,Smirnoff Vodka 80 Prf,48,200,$2.46,$3.69,48,$177.12,9.60,2.54
S11360000053,04/01/2013,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,"1923 5TH AVE S
FORT DODGE 50501
(42.501162, -94.171822)",94,Webster,1031200,VODKA FLAVORED,380,Phillips Beverage Company,40399,UV Peach Mini,6,500,$29.60,$44.40,2,$88.80,1.00,0.26
S08982800159,11/16/2012,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,"904 N 8TH ST
CLEAR LAKE 50428
(43.142868, -93.378772)",17,Cerro Gordo,1011200,STRAIGHT BOURBON WHISKIES,421,"Sazerac Co., Inc.",16518,Ancient Age Bourbon,6,1750,$11.80,$17.70,1,$17.70,1.75,0.46
S27349300151,08/17/2015,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,"1501 FIRST AVENUE EAST
NEWTON 50208
(41.69916, -93.034293)",50,Jasper,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10553,Black Velvet Cinnamon Rush,12,750,$6.75,$10.13,3,$30.39,2.25,0.59
S15979000005,11/26/2013,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,"501 7TH AVE SE
CEDAR RAPIDS 52401
(41.975739, -91.659878)",57,Linn,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,12,1000,$17.41,$26.12,48,$1253.76,48.00,12.68
S13356500033,07/15/2013,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,"1990 GRAND AVENUE
WEST DES MOINES 50265
(41.571127, -93.73162)",77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45278,Paramount White Rum,6,1750,$7.58,$11.37,12,$136.44,21.00,5.55
S13241100020,07/09/2013,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336404, -94.014003)",61,Madison,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,$7.13,$10.70,6,$64.20,10.50,2.77
S12714100030,06/11/2013,4258,Fareway Stores #009 / Burlington,920 LAWRENCE DR,BURLINGTON,52601,"920 LAWRENCE DR
BURLINGTON 52601
(40.800016, -91.140023)",29,Des Moines,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55086,Paramount Blackberry Brandy,12,750,$5.47,$8.21,2,$16.42,1.50,0.40
S27921200094,09/16/2015,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,"100 8TH STREET SW
ALTOONA 50009
(41.644041, -93.465301)",77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,40229,UV Sriracha,12,750,$6.50,$9.75,4,$39.00,3.00,0.79
S18541900027,04/22/2014,4117,Tobacco Shop / Arnolds Park,612 S HIGHWAY 71 UNIT 4,ARNOLDS PARK,51331,"612 S HIGHWAY 71 UNIT 4
ARNOLDS PARK 51331
(43.360706, -95.141004)",30,Dickinson,1062310,SPICED RUM,260,Diageo Americas,43333,Captain Morgan Spiced Rum Pet,48,200,$2.01,$3.02,4,$12.08,0.80,0.21
S18876900008,05/12/2014,3707,Target Store T-1768 / Cedar Rapids,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,"1030 BLAIRS FERRY RD NE
CEDAR RAPIDS 52402
(42.035159, -91.649625)",57,Linn,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,$6.90,$10.35,12,$124.20,9.00,2.38
